found_location,n,lat,lon,status
4407 Norwood in Austin (TX),13,30.188181,-97.68734,ok
7610 Cameron Rd in Austin (TX),13,30.3318765,-97.688423,ok
715 E 8Th St in Austin (TX),13,30.2674774,-97.7349511,ok
1500 Faro Dr in Austin (TX),13,30.2341226,-97.7144441,ok
2200 Willow Creek Dr in Austin (TX),13,30.230468,-97.730859,ok
8515 S Ih 35 in Austin (TX),13,30.1767039,-97.7976812,ok
5400 Freidrich Ln in Austin (TX),13,30.200571,-97.756311,ok
2801 Wells Branch Pkwy in Austin (TX),13,30.4378428,-97.6582081,ok
7607 Blessing Ave in Austin (TX),13,30.333439,-97.691639,ok
2100 Barton Springs in Austin (TX),13,30.2679178,-97.7682227,ok
7132 Texas 71 in Austin (TX),13,,,no_result
2406 Rosewood Ave in Austin (TX),13,30.272141,-97.709125,ok
9604 Bock Rd in Travis (TX),13,30.065989,-97.674047,ok
2110 Thrasher Ln in Austin (TX),13,30.221634,-97.701895,ok
2201 Montopolis in Austin (TX),13,30.2222308,-97.7043463,ok
1628 Ohlen Rd in Austin (TX),13,30.3645036,-97.7164007,ok
Clearfield in Austin (TX),13,30.3577607,-97.7134811,ok
9802 Roxanna Drive in Austin (TX),13,30.1762475,-97.8278574,ok
5000 Spruce Circle in Austin (TX),13,30.2966438,-97.6858294,ok
4605 Button Bend in Austin (TX),13,30.201222,-97.7415244,ok
12304 Elm Valley Dr in Travis (TX),13,30.133951,-97.825834,ok
1701 Congress Ave in Austin (TX),13,30.278863,-97.738702,ok
8303 Hornet Dr in Austin (TX),13,30.2009,-97.8397729,ok
1817 East Oltorf in Austin (TX),13,30.2316267,-97.7365656,ok
212 Hokanson Road in Del Valle (TX),13,,,no_result
6503 Bluff Springs in Austin (TX),12,30.190317,-97.766593,ok
North Ec in Austin (TX),12,,,no_result
7209 Barnsdale Way in Austin (TX),12,30.192172,-97.7929818,ok
Montopolis in Austin (TX),12,30.2249463,-97.7034441,ok
Riverside And Montopolis in Austin (TX),12,30.2249074,-97.7037393,ok
14000 Renaissance Ct in Austin (TX),12,,,no_result
1300 Crossing Place in Austin (TX),12,30.2383025,-97.7135045,ok
7903 Taza Trl in Austin (TX),12,30.2869515,-97.6388581,ok
124 West Anderson in Austin (TX),12,30.344704,-97.705244,ok
Riverside And Wickersham in Austin (TX),12,30.2357707,-97.7184655,ok
8524 Burnet Rd in Austin (TX),12,30.366943,-97.728397,ok
43 Rainey St in Austin (TX),12,30.2559818,-97.7395147,ok
2501 Wickersham Ln in Austin (TX),12,30.2235577,-97.7254174,ok
2005 Willow Creek Dr in Austin (TX),12,30.232053,-97.728603,ok
810 E Slaughter Ln in Austin (TX),12,30.159575,-97.775876,ok
5808 Mckinney Falls Pkwy in Austin (TX),12,30.1983226,-97.690767,ok
2901 S Capital Of Texas Hwy in Austin (TX),12,30.2540028,-97.8073575,ok
9515 Hotel Dr in Austin (TX),12,30.2122394,-97.6634575,ok
4701 Staggerbrush Rd in Austin (TX),12,30.233221,-97.836669,ok
2317 S Pleasant Valley in Austin (TX),12,30.2302634,-97.7241988,ok
10505 S Ih 35 in Austin (TX),12,,,no_result
409 E William Cannon Dr in Austin (TX),12,30.191483,-97.775535,ok
701 Woodward in Austin (TX),12,30.225402,-97.752067,ok
7309 Lazy Creek Dr in Austin (TX),12,30.3120113,-97.6557394,ok
824 Fairfield Dr in Austin (TX),12,30.356243,-97.703342,ok
1101 Wheatley Ave in Austin (TX),12,30.3326598,-97.6937897,ok
9102 Shepard Dr in Austin (TX),12,30.3604545,-97.6979708,ok
1044 Camino La Costa in Austin (TX),12,30.3250825,-97.6997524,ok
2308 Perry Ave #106 in Austin (TX),12,30.244984,-97.765517,ok
8718 Fm 812 in Travis (TX),12,30.1637878,-97.6901517,ok
2109 Jesse Owens Dr in Austin (TX),12,30.154073,-97.8400411,ok
6700 Evelyn Rd in Austin (TX),12,,,no_result
6813 Sabrina Dr in Austin (TX),12,30.15323,-97.7401096,ok
5201 Berkman Dr in Austin (TX),12,30.3048537,-97.6976298,ok
3505 South Lamar in Austin (TX),12,30.239441,-97.787691,ok
Bluff Springs And William Cannon in Austin (TX),12,30.1894491,-97.7678721,ok
1128 Gardner in Austin (TX),12,30.261872,-97.6797875,ok
1206 Woodfield Dr in Austin (TX),12,30.364347,-97.7076518,ok
2And And Attayca in Austin (TX),12,,,no_result
7802 Rutgers Ave in Austin (TX),12,30.351921,-97.726204,ok
8028 Elroy Rd in Travis (TX),12,30.1406595,-97.6187829,ok
7700 Beauregard Cir in Austin (TX),12,30.194527,-97.811156,ok
2107 Kirksey Drive in Austin (TX),12,30.2294654,-97.7177851,ok
7000 Decker Ln in Austin (TX),11,30.294403,-97.626035,ok
Cesar Chavez And Pleasant Valley in Austin (TX),11,30.2531527,-97.7128425,ok
2200 S Pleasant Valley in Austin (TX),11,30.2302634,-97.7241988,ok
2209 Kinney in Austin (TX),11,30.246682,-97.7731021,ok
Cesar Chavez in Austin (TX),11,30.2558955,-97.7317072,ok
2206 Blue Meadow Dr in Austin (TX),11,30.1821118,-97.7629653,ok
1015 E Yager Ln in Austin (TX),11,30.3910445,-97.6612283,ok
9500 Dessau Rd in Austin (TX),11,30.352494,-97.67525,ok
9601 Middle Fiskville in Austin (TX),11,30.359323,-97.6849671,ok
9300 S Ih 35 in Austin (TX),11,,,no_result
11001 S 1St St in Austin (TX),11,30.1450677,-97.8034004,ok
Parmer And Metric in Austin (TX),11,30.4122733,-97.6913726,ok
12501 Tech Ridge Blvd in Austin (TX),11,30.3980893,-97.6615047,ok
Westgate And William Cannon in Austin (TX),11,30.2065849,-97.8166166,ok
6201 Sneed Cv in Austin (TX),11,30.193943,-97.763443,ok
12800 Center Lake Dr in Austin (TX),11,30.4069695,-97.668567,ok
11700 Metric Blvd in Austin (TX),11,30.3964235,-97.7067935,ok
2932 Ellon Rd in Del Valle (TX),11,,,no_result
1301 Crossing Pl in Austin (TX),11,30.235892,-97.7114771,ok
8885 Research Blvd in Austin (TX),11,30.3705625,-97.719591,ok
E Riverside Dr & S Pleasant Valley Rd in Austin (TX),11,,,no_result
10707 Lake Creek Pkwy in Austin (TX),11,30.454752,-97.805583,ok
8900 N Ih 35 in Austin (TX),11,,,no_result
1215 W Slaughter Ln in Austin (TX),11,30.173093,-97.814327,ok
4710 Carson Hill Dr in Austin (TX),11,,,no_result
4511 Lucksinger Ln in Austin (TX),11,30.2146565,-97.7650462,ok
7603 Clydesdale in Austin (TX),11,30.2042,-97.8301909,ok
1401 East Rundberg Ln in Austin (TX),11,30.351666,-97.6783505,ok
1000 E 41St St in Austin (TX),11,30.3005067,-97.7196451,ok
8312 N Ih 35 in Austin (TX),11,,,no_result
1500 Crossing Place in Austin (TX),11,30.235083,-97.7155879,ok
12118 Walnut Park Xing. in Austin (TX),11,30.3927555,-97.6767332,ok
912 U.S. 183 in Austin (TX),11,,,no_result
10000 N Lamar Blvd in Austin (TX),11,30.369263,-97.6951,ok
9414 N Lamar Blvd in Austin (TX),11,30.3634852,-97.6968722,ok
17720 Powder Creek Dr in Manor (TX),11,,,no_result
3002 Ellon Rd in Del Valle (TX),11,,,no_result
